t,cam,fps,bad_frames,kills,respawns,alive
1789801707,1,30.6,0,5,5,True
1789801707,2,0.0,0,38,44,False
1789801712,1,30.4,0,5,5,True
1789801712,2,0.0,0,38,45,True
1789801717,1,30.4,0,5,5,True
1789801717,2,0.0,0,39,45,False
1789801722,1,30.2,0,5,5,True
1789801722,2,0.0,0,39,46,False
1789801727,1,30.4,0,5,5,True
1789801727,2,0.0,0,39,46,False
1789801733,1,30.0,0,5,5,True
1789801733,2,0.0,0,40,47,False
1789801738,1,30.4,0,5,5,True
1789801738,2,0.0,0,40,47,False
1789801743,1,30.4,0,5,5,True
1789801743,2,0.0,0,41,48,False
1789801748,1,30.0,0,5,5,True
1789801748,2,0.0,0,41,48,False
1789801753,1,29.8,0,5,5,True
1789801753,2,0.0,0,42,49,False
1789801758,1,30.2,0,5,5,True
1789801758,2,0.0,0,42,50,True
1789801763,1,30.4,0,5,5,True
1789801763,2,0.0,0,43,50,False
1789801768,1,30.4,0,5,5,True
1789801768,2,0.0,0,43,51,False
1789801773,1,30.4,0,5,5,True
1789801773,2,0.0,0,43,51,False
1789801778,1,30.2,0,5,5,True
1789801778,2,0.0,0,44,52,False
1789801783,1,30.8,0,5,5,True
1789801783,2,0.0,0,44,52,False
1789801788,1,29.4,0,5,5,True
1789801788,2,0.0,0,45,53,False
1789801793,1,30.4,0,5,5,True
1789801793,2,0.0,0,45,53,False
1789801798,1,30.0,0,5,5,True
1789801798,2,0.0,0,46,54,False
1789801803,1,30.6,0,5,5,True
1789801803,2,0.0,0,46,54,False
1789801808,1,30.2,0,5,5,True
1789801808,2,0.0,0,47,55,False
1789801813,1,30.0,0,5,5,True
1789801813,2,0.0,0,47,55,False
1789801818,1,29.8,0,5,5,True
1789801818,2,0.0,0,47,56,False
1789801823,1,30.4,0,5,5,True
1789801823,2,0.0,0,47,57,True
1789801828,1,30.4,0,5,5,True
1789801828,2,0.0,0,47,57,False
1789801833,1,29.2,0,5,5,True
1789801833,2,0.0,0,48,58,False
1789801838,1,30.4,0,5,5,True
1789801838,2,0.0,0,48,58,False
1789801843,1,30.4,0,5,5,True
1789801843,2,0.0,0,48,59,False
1789801848,1,30.4,0,5,5,True
1789801848,2,0.0,0,48,59,False
1789801853,1,30.4,0,5,5,True
1789801853,2,0.0,0,49,60,False
1789801858,1,30.0,0,5,5,True
1789801858,2,0.0,0,49,60,False
1789801863,1,30.4,0,5,5,True
1789801863,2,0.0,0,49,61,False
1789801868,1,30.2,0,5,5,True
1789801868,2,0.0,0,49,62,True
1789801873,1,30.0,0,5,5,True
1789801873,2,0.0,0,50,62,False
1789801878,1,30.4,0,5,5,True
1789801878,2,0.0,0,50,63,True
1789801883,1,30.6,0,5,5,True
1789801883,2,0.0,0,51,63,False
1789801888,1,30.2,0,5,5,True
1789801888,2,0.0,0,52,64,False
1789801893,1,30.6,0,5,5,True
1789801893,2,0.0,0,52,64,False
1789801899,1,30.4,0,5,5,True
1789801899,2,0.0,0,53,65,False
1789801904,1,30.4,0,5,5,True
1789801904,2,0.0,0,53,65,False
1789801909,1,30.2,0,5,5,True
1789801909,2,0.0,0,54,66,False
1789801914,1,30.4,0,5,5,True
1789801914,2,0.0,0,54,66,False
1789801919,1,30.2,0,5,5,True
1789801919,2,0.0,0,54,67,False
1789801924,1,30.4,0,5,5,True
1789801924,2,0.0,0,55,68,False
1789801929,1,29.8,0,5,5,True
1789801929,2,0.0,0,55,68,False
1789801934,1,30.4,0,5,5,True
1789801934,2,0.0,0,55,69,False
1789801939,1,30.4,0,5,5,True
1789801939,2,0.0,0,55,69,False
1789801944,1,30.2,0,5,5,True
1789801944,2,0.0,0,56,70,False
1789801949,1,30.2,0,5,5,True
1789801949,2,0.0,0,56,70,False
1789801954,1,30.0,0,5,5,True
1789801954,2,0.0,0,57,71,False
1789801959,1,30.6,0,5,5,True
1789801959,2,0.0,0,57,72,True
1789801964,1,30.0,0,5,5,True
1789801964,2,0.0,0,58,72,False
1789801969,1,30.6,0,5,5,True
1789801969,2,0.0,0,59,73,False
1789801974,1,30.2,0,5,5,True
1789801974,2,0.0,0,59,73,False
1789801979,1,30.4,0,5,5,True
1789801979,2,0.0,0,60,74,False
1789801984,1,30.2,0,5,5,True
1789801984,2,0.0,0,60,74,False
1789801989,1,30.2,0,5,5,True
1789801989,2,0.0,0,60,75,False
1789801994,1,30.2,0,5,5,True
1789801994,2,0.0,0,60,75,False
1789801999,1,30.4,0,5,5,True
1789801999,2,0.0,0,60,76,False
1789802004,1,30.6,0,5,5,True
1789802004,2,0.0,0,60,77,True
1789802009,1,30.4,0,5,5,True
1789802009,2,0.0,0,61,77,False
1789802014,1,30.0,0,5,5,True
1789802014,2,0.0,0,62,78,False
1789802019,1,30.4,0,5,5,True
1789802019,2,0.0,0,62,78,False
1789802024,1,30.0,0,5,5,True
1789802024,2,0.0,0,62,79,False
1789802029,1,30.6,0,5,5,True
1789802029,2,0.0,0,62,79,False
1789802034,1,30.4,0,5,5,True
1789802034,2,0.0,0,63,80,False
1789802039,1,30.2,0,5,5,True
1789802039,2,0.0,0,63,80,False
1789802044,1,30.4,0,5,5,True
1789802044,2,0.0,0,63,81,False
1789802049,1,30.4,0,5,5,True
1789802049,2,0.0,0,64,82,False
1789802054,1,30.2,0,5,5,True
1789802054,2,0.0,0,64,82,False
1789802059,1,30.2,0,5,5,True
1789802059,2,0.0,0,64,83,False
1789802064,1,30.2,0,5,5,True
1789802064,2,0.0,0,64,83,False
1789802069,1,30.2,0,5,5,True
1789802069,2,0.0,0,64,84,False
1789802074,1,30.6,0,5,5,True
1789802074,2,0.0,0,64,84,False
1789802079,1,30.4,0,5,5,True
1789802079,2,0.0,0,64,85,False
1789802084,1,30.2,0,5,5,True
1789802084,2,0.0,0,64,86,False
1789802089,1,30.4,0,5,5,True
1789802090,2,0.0,0,64,86,False
1789802095,1,30.4,0,5,5,True
1789802095,2,0.0,0,64,87,False
1789802100,1,30.2,0,5,5,True
1789802100,2,0.0,0,64,87,False
1789802105,1,30.4,0,5,5,True
1789802105,2,0.0,0,65,88,False
1789802110,1,30.2,0,5,5,True
1789802110,2,0.0,0,65,88,False
1789802115,1,30.2,0,5,5,True
1789802115,2,0.0,0,65,89,False
1789802120,1,30.4,0,5,5,True
1789802120,2,0.0,0,65,90,False
1789802125,1,30.6,0,5,5,True
1789802125,2,0.0,0,65,90,False
1789802130,1,30.2,0,5,5,True
1789802130,2,0.0,0,66,91,False
1789802135,1,30.2,0,5,5,True
1789802135,2,0.0,0,66,91,False
1789802140,1,30.2,0,5,5,True
1789802140,2,0.0,0,66,92,False
1789802145,1,30.4,0,5,5,True
1789802145,2,0.0,0,66,92,False
1789802150,1,30.4,0,5,5,True
1789802150,2,0.0,0,67,93,False
1789802155,1,30.4,0,5,5,True
1789802155,2,0.0,0,68,94,False
1789802160,1,28.0,0,5,5,True
1789802160,2,0.0,0,68,94,False
1789802165,1,16.2,0,5,5,True
1789802165,2,0.0,0,69,95,False
1789802170,1,15.2,0,5,5,True
1789802170,2,0.0,0,69,95,False
1789802175,1,15.2,0,5,5,True
1789802175,2,0.0,0,70,96,False
1789802180,1,15.2,0,5,5,True
1789802180,2,0.0,0,70,96,False
1789802185,1,15.2,0,5,5,True
1789802185,2,0.0,0,71,97,False
1789802190,1,15.0,0,5,5,True
1789802190,2,0.0,0,71,98,True
1789802195,1,15.2,0,5,5,True
1789802195,2,0.0,0,72,98,False
1789802200,1,15.2,0,5,5,True
1789802200,2,0.0,0,73,99,False
1789802205,1,15.2,0,5,5,True
1789802205,2,0.0,0,73,99,False
1789802210,1,15.2,0,5,5,True
1789802210,2,0.0,0,74,100,False
1789802215,1,15.2,0,5,5,True
1789802215,2,0.0,0,74,100,False
1789802220,1,15.2,0,5,5,True
1789802220,2,0.0,0,75,101,False
1789802225,1,15.2,0,5,5,True
1789802225,2,0.0,0,75,101,False
1789802230,1,15.2,0,5,5,True
1789802230,2,0.0,0,76,102,False
1789802235,1,15.2,0,5,5,True
1789802235,2,0.0,0,76,102,False
1789802240,1,15.2,0,5,5,True
1789802240,2,0.0,0,77,103,False
1789802245,1,15.2,0,5,5,True
1789802245,2,0.0,0,77,104,True
1789802250,1,15.2,0,5,5,True
1789802250,2,0.0,0,78,104,False
1789802255,1,15.2,0,5,5,True
1789802255,2,0.0,0,78,105,False
1789802261,1,15.2,0,5,5,True
1789802261,2,0.0,0,78,105,False
1789802266,1,15.2,0,5,5,True
1789802266,2,0.0,0,78,106,False
1789802271,1,15.2,0,5,5,True
1789802271,2,0.0,0,78,106,False
1789802276,1,15.0,0,5,5,True
1789802276,2,0.0,0,79,107,False
1789802281,1,15.2,0,5,5,True
1789802281,2,0.0,0,79,108,True
1789802286,1,15.0,0,5,5,True
1789802286,2,0.0,0,80,108,False
1789802291,1,15.0,0,5,5,True
1789802291,2,0.0,0,80,109,True
1789802296,1,16.0,0,5,5,True
1789802296,2,0.0,0,81,109,False
1789802301,1,15.2,0,5,5,True
1789802301,2,0.0,0,82,110,False
1789802306,1,15.2,0,5,5,True
1789802306,2,0.0,0,82,110,False
1789802311,1,15.2,0,5,5,True
1789802311,2,0.0,0,82,111,False
1789802316,1,15.2,0,5,5,True
1789802316,2,0.0,0,82,111,False
1789802321,1,15.2,0,5,5,True
1789802321,2,0.0,0,83,112,False
1789802326,1,15.2,0,5,5,True
1789802326,2,0.0,0,83,112,False
1789802331,1,15.2,0,5,5,True
1789802331,2,0.0,0,84,113,False
1789802336,1,14.8,0,5,5,True
1789802336,2,0.0,0,84,114,True
1789802341,1,15.6,0,5,5,True
1789802341,2,0.0,0,85,114,False
1789802346,1,15.2,0,5,5,True
1789802346,2,0.0,0,85,115,False
1789802351,1,15.2,0,5,5,True
1789802351,2,0.0,0,85,115,False
1789802356,1,15.4,0,5,5,True
1789802356,2,0.0,0,86,116,False
1789802361,1,15.2,0,5,5,True
1789802361,2,0.0,0,86,116,False
1789802366,1,15.0,0,5,5,True
1789802366,2,0.0,0,87,117,False
1789802371,1,15.2,0,5,5,True
1789802371,2,0.0,0,87,118,True
1789802376,1,15.2,0,5,5,True
1789802376,2,0.0,0,88,118,False
1789802382,1,15.2,0,5,5,True
1789802382,2,0.0,0,89,119,False
1789802387,1,15.2,0,5,5,True
1789802387,2,0.0,0,89,119,False
1789802392,1,15.0,0,5,5,True
1789802392,2,0.0,0,89,120,False
1789802397,1,15.2,0,5,5,True
1789802397,2,0.0,0,89,120,False
1789802402,1,15.2,0,5,5,True
1789802402,2,0.0,0,90,121,False
1789802407,1,15.2,0,5,5,True
1789802407,2,0.0,0,90,121,False
1789802412,1,15.2,0,5,5,True
1789802412,2,0.0,0,90,122,False
1789802417,1,15.2,0,5,5,True
1789802417,2,0.0,0,90,123,True
1789802422,1,15.2,0,5,5,True
1789802422,2,0.0,0,91,123,False
1789802427,1,15.0,0,5,5,True
1789802427,2,0.0,0,91,124,True
1789802432,1,15.2,0,5,5,True
1789802432,2,0.0,0,92,124,False
1789802437,1,15.2,0,5,5,True
1789802437,2,0.0,0,93,125,False
1789802442,1,15.2,0,5,5,True
1789802442,2,0.0,0,93,125,False
1789802447,1,15.2,0,5,5,True
1789802447,2,0.0,0,94,126,False
1789802452,1,15.2,0,5,5,True
1789802452,2,0.0,0,94,126,False
1789802457,1,15.2,0,5,5,True
1789802457,2,0.0,0,95,127,False
1789802462,1,15.0,0,5,5,True
1789802462,2,0.0,0,95,128,True
1789802467,1,15.0,0,5,5,True
1789802467,2,0.0,0,96,128,False
1789802472,1,15.4,0,5,5,True
1789802472,2,0.0,0,96,129,True
1789802477,1,15.2,0,5,5,True
1789802477,2,0.0,0,97,129,False
1789802482,1,15.4,0,5,5,True
1789802482,2,0.0,0,98,130,False
1789802487,1,15.2,0,5,5,True
1789802487,2,0.0,0,98,130,False
1789802492,1,15.2,0,5,5,True
1789802492,2,0.0,0,99,131,False
1789802497,1,15.0,0,5,5,True
1789802497,2,0.0,0,99,131,False
1789802502,1,15.2,0,5,5,True
1789802502,2,0.0,0,99,132,False
1789802507,1,15.4,0,5,5,True
1789802507,2,0.0,0,99,132,False
1789802512,1,15.2,0,5,5,True
1789802512,2,0.0,0,100,133,False
1789802517,1,15.2,0,5,5,True
1789802517,2,0.0,0,100,133,False
1789802522,1,15.0,0,5,5,True
1789802522,2,0.0,0,101,134,False
1789802527,1,15.2,0,5,5,True
1789802527,2,0.0,0,101,135,True
1789802532,1,15.2,0,5,5,True
1789802532,2,0.0,0,102,135,False
1789802537,1,15.2,0,5,5,True
1789802537,2,0.0,0,102,136,False
1789802542,1,15.2,0,5,5,True
1789802542,2,0.0,0,102,136,False
1789802547,1,15.2,0,5,5,True
1789802547,2,0.0,0,102,137,False
1789802553,1,15.2,0,5,5,True
1789802553,2,0.0,0,102,137,False
1789802558,1,15.2,0,5,5,True
1789802558,2,0.0,0,103,138,False
1789802563,1,15.0,0,5,5,True
1789802563,2,0.0,0,103,139,True
1789802568,1,15.2,0,5,5,True
1789802568,2,0.0,0,104,139,False
1789802573,1,15.0,0,5,5,True
1789802573,2,0.0,0,104,140,True
1789802578,1,15.2,0,5,5,True
1789802578,2,0.0,0,105,140,False
1789802583,1,15.2,0,5,5,True
1789802583,2,0.0,0,105,140,False
1789802588,1,15.2,0,5,5,True
1789802588,2,0.0,0,106,141,False
1789802593,1,15.2,0,5,5,True
1789802593,2,0.0,0,106,141,False
1789802598,1,15.2,0,5,5,True
1789802598,2,0.0,0,107,142,False
1789802603,1,15.2,0,5,5,True
1789802603,2,0.0,0,107,143,True
1789802608,1,15.2,0,5,5,True
1789802608,2,0.0,0,108,143,False
1789802613,1,15.2,0,5,5,True
1789802613,2,0.0,0,108,144,False
1789802618,1,15.2,0,5,5,True
1789802618,2,0.0,0,108,144,False
1789802623,1,15.0,0,5,5,True
1789802623,2,0.0,0,109,145,False
1789802628,1,15.2,0,5,5,True
1789802628,2,0.0,0,109,145,False
1789802633,1,15.2,0,5,5,True
1789802633,2,0.0,0,110,146,False
1789802638,1,15.2,0,5,5,True
1789802638,2,0.0,0,110,146,False
1789802643,1,15.0,0,5,5,True
1789802643,2,0.0,0,111,147,False
1789802648,1,15.2,0,5,5,True
1789802648,2,0.0,0,111,147,False
1789802653,1,15.2,0,5,5,True
1789802653,2,0.0,0,111,148,False
1789802658,1,15.2,0,5,5,True
1789802658,2,0.0,0,111,148,False
1789802663,1,15.0,0,5,5,True
1789802663,2,0.0,0,112,149,False
1789802668,1,15.2,0,5,5,True
1789802668,2,0.0,0,112,150,True
1789802673,1,15.2,0,5,5,True
1789802673,2,0.0,0,113,150,False
1789802678,1,15.2,0,5,5,True
1789802678,2,0.0,0,114,151,False
1789802683,1,15.2,0,5,5,True
1789802683,2,0.0,0,114,151,False
1789802688,1,15.0,0,5,5,True
1789802688,2,0.0,0,114,152,False
1789802693,1,15.2,0,5,5,True
