t,cam,fps,bad_frames,kills,respawns,alive
1789803176,1,15.0,0,5,5,True
1789803176,2,26.0,0,137,190,True
1789803181,1,15.0,0,5,5,True
1789803181,2,24.8,0,137,190,True
1789803186,1,15.2,0,5,5,True
1789803186,2,26.2,0,137,190,True
1789803191,1,15.2,0,5,5,True
1789803191,2,26.0,0,137,190,True
1789803197,1,15.2,0,5,5,True
1789803197,2,25.8,0,137,190,True
1789803202,1,15.2,0,5,5,True
1789803202,2,25.8,0,137,190,True
1789803207,1,14.6,0,5,5,True
1789803207,2,25.4,0,137,190,True
1789803212,1,15.8,0,5,5,True
1789803212,2,26.0,0,137,190,True
1789803217,1,15.2,0,5,5,True
1789803217,2,26.0,0,137,190,True
1789803222,1,15.0,0,5,5,True
1789803222,2,25.4,0,137,190,True
1789803227,1,15.4,0,5,5,True
1789803227,2,26.0,0,137,190,True
1789803232,1,15.0,0,5,5,True
1789803232,2,25.8,0,137,190,True
1789803237,1,15.2,0,5,5,True
1789803237,2,25.8,0,137,190,True
1789803242,1,15.0,0,5,5,True
1789803242,2,25.8,0,137,190,True
1789803247,1,15.2,0,5,5,True
1789803247,2,25.8,0,137,190,True
